datetime,open,high,low,close,volume
2026-01-15T08:20:00-05:00,2349.45,2351.3,2348.5,2350.35,170
2026-01-15T08:21:00-05:00,2349.8,2351.65,2348.85,2350.7,171
2026-01-15T08:22:00-05:00,2350.15,2352.0,2349.2,2351.05,172
2026-01-15T08:23:00-05:00,2350.5,2352.35,2349.55,2351.4,173
2026-01-15T08:24:00-05:00,2350.85,2352.7,2349.9,2351.75,174
2026-01-15T08:25:00-05:00,2351.2,2353.05,2350.25,2352.1,175
2026-01-15T08:26:00-05:00,2351.55,2353.4,2350.6,2352.45,176
2026-01-15T08:27:00-05:00,2351.9,2353.75,2350.95,2352.8,177
2026-01-15T08:28:00-05:00,2352.25,2354.1,2351.3,2353.15,178
2026-01-15T08:29:00-05:00,2352.6,2354.45,2351.65,2353.5,179
2026-01-15T08:30:00-05:00,2352.95,2354.8,2352.0,2353.85,180
2026-01-15T08:31:00-05:00,2353.3,2355.15,2352.35,2354.2,181
2026-01-15T08:32:00-05:00,2353.65,2355.5,2352.7,2354.55,182
2026-01-15T08:33:00-05:00,2354.0,2355.85,2353.05,2354.9,183
2026-01-15T08:34:00-05:00,2354.35,2356.2,2353.4,2355.25,184
2026-01-15T08:35:00-05:00,2354.7,2356.55,2353.75,2355.6,185
2026-01-15T08:36:00-05:00,2355.05,2356.9,2354.1,2355.95,186
2026-01-15T08:37:00-05:00,2355.4,2357.25,2354.45,2356.3,187
2026-01-15T08:38:00-05:00,2355.75,2357.6,2354.8,2356.65,188
2026-01-15T08:39:00-05:00,2356.1,2357.95,2355.15,2357.0,189
2026-01-15T08:40:00-05:00,2356.45,2358.3,2355.5,2357.35,190
2026-01-15T08:41:00-05:00,2356.8,2358.65,2355.85,2357.7,191
2026-01-15T08:42:00-05:00,2357.15,2359.0,2356.2,2358.05,192
2026-01-15T08:43:00-05:00,2357.5,2359.35,2356.55,2358.4,193
2026-01-15T08:44:00-05:00,2357.85,2359.7,2356.9,2358.75,194
2026-01-15T08:45:00-05:00,2358.2,2360.05,2357.25,2359.1,170
2026-01-15T08:46:00-05:00,2358.55,2360.4,2357.6,2359.45,171
2026-01-15T08:47:00-05:00,2358.9,2360.75,2357.95,2359.8,172
2026-01-15T08:48:00-05:00,2359.25,2361.1,2358.3,2360.15,173
2026-01-15T08:49:00-05:00,2359.6,2361.45,2358.65,2360.5,174
2026-01-15T08:50:00-05:00,2359.95,2361.8,2359.0,2360.85,175
2026-01-15T08:51:00-05:00,2360.3,2362.15,2359.35,2361.2,176
2026-01-15T08:52:00-05:00,2360.65,2362.5,2359.7,2361.55,177
2026-01-15T08:53:00-05:00,2361.0,2362.85,2360.05,2361.9,178
2026-01-15T08:54:00-05:00,2361.35,2363.2,2360.4,2362.25,179
2026-01-15T08:55:00-05:00,2361.7,2363.55,2360.75,2362.6,180
2026-01-15T08:56:00-05:00,2362.05,2363.9,2361.1,2362.95,181
2026-01-15T08:57:00-05:00,2362.4,2364.25,2361.45,2363.3,182
2026-01-15T08:58:00-05:00,2362.75,2364.6,2361.8,2363.65,183
2026-01-15T08:59:00-05:00,2363.1,2364.95,2362.15,2364.0,184
2026-01-15T09:00:00-05:00,2363.45,2365.3,2362.5,2364.35,185
2026-01-15T09:01:00-05:00,2363.8,2365.65,2362.85,2364.7,186
2026-01-15T09:02:00-05:00,2364.15,2366.0,2363.2,2365.05,187
2026-01-15T09:03:00-05:00,2364.5,2366.35,2363.55,2365.4,188
2026-01-15T09:04:00-05:00,2364.85,2366.7,2363.9,2365.75,189
2026-01-15T09:05:00-05:00,2365.2,2367.05,2364.25,2366.1,190
2026-01-15T09:06:00-05:00,2365.55,2367.4,2364.6,2366.45,191
2026-01-15T09:07:00-05:00,2365.9,2367.75,2364.95,2366.8,192
2026-01-15T09:08:00-05:00,2366.25,2368.1,2365.3,2367.15,193
2026-01-15T09:09:00-05:00,2366.6,2368.45,2365.65,2367.5,194
2026-01-15T09:10:00-05:00,2366.95,2368.8,2366.0,2367.85,170
2026-01-15T09:11:00-05:00,2367.3,2369.15,2366.35,2368.2,171
2026-01-15T09:12:00-05:00,2367.65,2369.5,2366.7,2368.55,172
2026-01-15T09:13:00-05:00,2368.0,2369.85,2367.05,2368.9,173
2026-01-15T09:14:00-05:00,2368.35,2370.2,2367.4,2369.25,174
2026-01-15T09:15:00-05:00,2368.7,2370.55,2367.75,2369.6,175
2026-01-15T09:16:00-05:00,2369.05,2370.9,2368.1,2369.95,176
2026-01-15T09:17:00-05:00,2369.4,2371.25,2368.45,2370.3,177
2026-01-15T09:18:00-05:00,2369.75,2371.6,2368.8,2370.65,178
2026-01-15T09:19:00-05:00,2370.1,2371.95,2369.15,2371.0,179
2026-01-15T09:20:00-05:00,2370.45,2372.3,2369.5,2371.35,180
2026-01-15T09:21:00-05:00,2370.8,2372.65,2369.85,2371.7,181
2026-01-15T09:22:00-05:00,2371.15,2373.0,2370.2,2372.05,182
2026-01-15T09:23:00-05:00,2371.5,2373.35,2370.55,2372.4,183
2026-01-15T09:24:00-05:00,2371.85,2373.7,2370.9,2372.75,184
